"filename", "language", "Markdown", "JavaScript", "PHP", "CSS", "JSON", "XML", "YAML", "JavaScript JSX", "Django HTML", "comment", "blank", "total"
"z:\Projects\mstender\backend\database\factories\SettingFactory copy.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"z:\Projects\mstender\backend\database\factories\SettingFactory.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"z:\Projects\mstender\backend\database\factories\TaxFactory copy.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 5, 27
"z:\Projects\mstender\backend\database\factories\TaxFactory.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 5, 27
"z:\Projects\mstender\backend\database\factories\TransactionFactory.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"z:\Projects\mstender\backend\database\factories\UserFactory.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 0, 3, 7, 47
"z:\Projects\mstender\backend\database\migrations\0001_01_01_000000_create_users_table.php", "PHP", 0, 0, 58, 0, 0, 0, 0, 0, 0, 7, 17, 82
"z:\Projects\mstender\backend\database\migrations\0001_01_01_000001_create_cache_table.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 0, 0, 6, 5, 36
"z:\Projects\mstender\backend\database\migrations\0001_01_01_000002_create_jobs_table.php", "PHP", 0, 0, 46, 0, 0, 0, 0, 0, 0, 6, 6, 58
"z:\Projects\mstender\backend\database\migrations\2025_10_07_045950_create_settings_table.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 8, 31
"z:\Projects\mstender\backend\database\migrations\2025_10_07_050743_create_notifications_table.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 7, 35
"z:\Projects\mstender\backend\database\migrations\2025_10_07_052156_create_taxes_table.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 6, 32
"z:\Projects\mstender\backend\database\migrations\2025_10_07_072930_create_banks_table.php", "PHP", 0, 0, 31, 0, 0, 0, 0, 0, 0, 5, 8, 44
"z:\Projects\mstender\backend\database\migrations\2025_11_30_070221_create_customers_table.php", "PHP", 0, 0, 40, 0, 0, 0, 0, 0, 0, 5, 10, 55
"z:\Projects\mstender\backend\database\migrations\2025_12_05_063158_create_invoices_table.php", "PHP", 0, 0, 54, 0, 0, 0, 0, 0, 0, 7, 12, 73
"z:\Projects\mstender\backend\database\migrations\2025_12_05_063744_create_invoice_items_table.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 0, 0, 3, 8, 37
"z:\Projects\mstender\backend\database\migrations\2026_01_29_070235_create_invoice_taxes_table.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 0, 0, 6, 11, 45
"z:\Projects\mstender\backend\database\migrations\2026_02_11_082657_create_transactions_table.php", "PHP", 0, 0, 38, 0, 0, 0, 0, 0, 0, 7, 13, 58
"z:\Projects\mstender\backend\database\migrations\2026_05_04_053545_create_pipelines_table.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 0, 0, 6, 7, 38
"z:\Projects\mstender\backend\database\migrations\2026_05_04_053547_create_pipeline_stages_table.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 0, 6, 7, 36
"z:\Projects\mstender\backend\database\migrations\2026_05_04_136114_create_leads_table.php", "PHP", 0, 0, 41, 0, 0, 0, 0, 0, 0, 13, 11, 65
"z:\Projects\mstender\backend\database\migrations\2026_05_04_153552_create_lead_activities_table.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 0, 0, 6, 9, 41
"z:\Projects\mstender\backend\database\migrations\2026_05_08_144823_create_personal_access_tokens_table.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 0, 6, 4, 34
"z:\Projects\mstender\backend\database\migrations\2026_05_12_055529_create_lead_notes_table.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 6, 9, 42
"z:\Projects\mstender\backend\database\migrations\2026_05_12_055535_create_lead_note_comments_table.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 0, 0, 6, 8, 40
"z:\Projects\mstender\backend\database\seeders\DatabaseSeeder.php", "PHP", 0, 0, 52, 0, 0, 0, 0, 0, 0, 6, 12, 70
"z:\Projects\mstender\backend\package.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"z:\Projects\mstender\backend\phpunit.xml", "XML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 37
"z:\Projects\mstender\backend\public\index.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 4, 7, 21
"z:\Projects\mstender\backend\resources\css\app.css", "CSS", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"z:\Projects\mstender\backend\resources\js\app.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"z:\Projects\mstender\backend\resources\js\bootstrap.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"z:\Projects\mstender\backend\resources\views\welcome.blade.php", "PHP", 0, 0, 270, 0, 0, 0, 0, 0, 0, 0, 8, 278
"z:\Projects\mstender\backend\routes\api.php", "PHP", 0, 0, 165, 0, 0, 0, 0, 0, 0, 100, 51, 316
"z:\Projects\mstender\backend\routes\console.php", "PHP", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"z:\Projects\mstender\backend\routes\web.php", "PHP", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"z:\Projects\mstender\backend\tests\Feature\ExampleTest.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 0, 0, 4, 5, 20
"z:\Projects\mstender\backend\tests\TestCase.php", "PHP", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 4, 11
"z:\Projects\mstender\backend\tests\Unit\ExampleTest.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 4, 17
"z:\Projects\mstender\backend\vendor\brick\math\tools\ecs\composer.json", "JSON", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"z:\Projects\mstender\backend\vendor\brick\math\tools\ecs\ecs.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 0, 2, 8, 34
"z:\Projects\mstender\backend\vite.config.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"z:\Projects\mstender\frontend\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 71
"z:\Projects\mstender\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 18919, 0, 0, 0, 0, 0, 1, 18920
"z:\Projects\mstender\frontend\package.json", "JSON", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 1, 64
"z:\Projects\mstender\frontend\public\index.html", "Django HTML", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 4, 44
"z:\Projects\mstender\frontend\public\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"z:\Projects\mstender\frontend\src\App.css", "CSS", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 6, 39
"z:\Projects\mstender\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 92, 0, 32, 31, 155
"z:\Projects\mstender\frontend\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"z:\Projects\mstender\frontend\src\assets\SVG\Delete.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"z:\Projects\mstender\frontend\src\assets\SVG\DragIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 1, 19
"z:\Projects\mstender\frontend\src\assets\SVG\Edit.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"z:\Projects\mstender\frontend\src\assets\SVG\Eye.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"z:\Projects\mstender\frontend\src\assets\SVG\EyeSlash.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"z:\Projects\mstender\frontend\src\assets\SVG\Loading.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 1, 21
"z:\Projects\mstender\frontend\src\common\NotificationToast.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 22, 0, 2, 3, 27
"z:\Projects\mstender\frontend\src\common\UI\CardUI.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"z:\Projects\mstender\frontend\src\components\elements\Button.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 91, 0, 4, 7, 102
"z:\Projects\mstender\frontend\src\components\elements\Input.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 7, 56
"z:\Projects\mstender\frontend\src\components\elements\Select.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 76, 0, 5, 18, 99
"z:\Projects\mstender\frontend\src\components\elements\SelectSearch.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 246, 0, 36, 82, 364
"z:\Projects\mstender\frontend\src\components\elements\SelectSearchJson.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 102, 0, 14, 17, 133
