"filename", "language", "PHP", "Markdown", "JavaScript", "JSON", "CSS", "JavaScript JSX", "XML", "YAML", "Django HTML", "comment", "blank", "total"
"z:\Projects\mstender\frontend\package-lock.json", "JSON", 0, 0, 0, 18919, 0, 0, 0, 0, 0, 0, 1, 18920
"z:\Projects\mstender\frontend\package.json", "JSON", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 1, 64
"z:\Projects\mstender\frontend\public\index.html", "Django HTML", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 4, 44
"z:\Projects\mstender\frontend\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"z:\Projects\mstender\frontend\src\App.css", "CSS", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 6, 39
"z:\Projects\mstender\frontend\src\App.js", "JavaScript", 0, 0, 104, 0, 0, 0, 0, 0, 0, 18, 31, 153
"z:\Projects\mstender\frontend\src\App.test.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"z:\Projects\mstender\frontend\src\assets\SVG\Delete.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"z:\Projects\mstender\frontend\src\assets\SVG\DragIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 19
"z:\Projects\mstender\frontend\src\assets\SVG\Edit.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"z:\Projects\mstender\frontend\src\assets\SVG\Eye.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"z:\Projects\mstender\frontend\src\assets\SVG\EyeSlash.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
